Region,State,Year,Seats
South,All South,1910,104
South,Alabama,1910,10
South,Arkansas,1910,7
South,Florida,1910,4
South,Georgia,1910,12
South,Louisiana,1910,8
South,Mississippi,1910,8
South,North Carolina,1910,10
South,South Carolina,1910,7
South,Tennessee,1910,10
South,Texas,1910,18
South,Virginia,1910,10
Border,All Border,1910,47
Border,Kentucky,1910,11
Border,Maryland,1910,6
Border,Missouri,1910,16
Border,Oklahoma,1910,8
Border,West Virginia,1910,6
New England,All New England,1910,32
New England,Connecticut,1910,5
New England,Maine,1910,4
New England,Massachusetts,1910,16
New England,New Hampshire,1910,2
New England,Rhode Island,1910,3
New England,Vermont,1910,2
Mid-Atlantic,All Mid-Atlantic,1910,92
Mid-Atlantic,Delaware,1910,1
Mid-Atlantic,New Jersey,1910,12
Mid-Atlantic,New York,1910,43
Mid-Atlantic, Pennsylvania,1910,36
Midwest,All Midwest,1910,86
Midwest,Illinois,1910,27
Midwest,Indiana,1910,13
Midwest,Michigan,1910,13
Midwest,Ohio,1910,22
Midwest,Wisconsin,1910,11
Plains,All Plains,1910,41
Plains,Iowa,1910,11
Plains,Kansas,1910,8
Plains,Minnesota,1910,10
Plains,Nebraska,1910,6
Plains,North Dakota,1910,3
Plains,South Dakota,1910,3
Rocky Mountains,All Rocky Mountains,1910,14
Rocky Mountains,Arizona,1910,1
Rocky Mountains,Colorado,1910,4
Rocky Mountains,Idaho,1910,2
Rocky Mountains,Montana,1910,2
Rocky Mountains,Nevada,1910,1
Rocky Mountains,New Mexico,1910,1
Rocky Mountains,Utah,1910,2
Rocky Mountains,Wyoming,1910,1
Pacific Coast,All Pacific Coast,1910,19
Pacific Coast,Alaska,1910,
Pacific Coast,California,1910,11
Pacific Coast,Hawaii,1910,
Pacific Coast,Oregon,1910,3
Pacific Coast,Washington,1910,5
South,All South,1930,102
South,Alabama,1930,9
South,Arkansas,1930,7
South,Florida,1930,5
South,Georgia,1930,10
South,Louisiana,1930,8
South,Mississippi,1930,7
South,North Carolina,1930,11
South,South Carolina,1930,6
South,Tennessee,1930,9
South,Texas,1930,21
South,Virginia,1930,9
Border,All Border,1930,43
Border,Kentucky,1930,9
Border,Maryland,1930,6
Border,Missouri,1930,13
Border,Oklahoma,1930,9
Border,West Virginia,1930,6
New England,All New England,1930,29
New England,Connecticut,1930,6
New England,Maine,1930,3
New England,Massachusetts,1930,15
New England,New Hampshire,1930,2
New England,Rhode Island,1930,2
New England,Vermont,1930,1
Mid-Atlantic,All Mid-Atlantic,1930,94
Mid-Atlantic,Delaware,1930,1
Mid-Atlantic,New Jersey,1930,14
Mid-Atlantic,New York,1930,45
Mid-Atlantic, Pennsylvania,1930,34
Midwest,All Midwest,1930,90
Midwest,Illinois,1930,27
Midwest,Indiana,1930,12
Midwest,Michigan,1930,17
Midwest,Ohio,1930,24
Midwest,Wisconsin,1930,10
Plains,All Plains,1930,34
Plains,Iowa,1930,9
Plains,Kansas,1930,7
Plains,Minnesota,1930,9
Plains,Nebraska,1930,5
Plains,North Dakota,1930,2
Plains,South Dakota,1930,2
Rocky Mountains,All Rocky Mountains,1930,14
Rocky Mountains,Arizona,1930,1
Rocky Mountains,Colorado,1930,4
Rocky Mountains,Idaho,1930,2
Rocky Mountains,Montana,1930,2
Rocky Mountains,Nevada,1930,1
Rocky Mountains,New Mexico,1930,1
Rocky Mountains,Utah,1930,2
Rocky Mountains,Wyoming,1930,1
Pacific Coast,All Pacific Coast,1930,29
Pacific Coast,Alaska,1930,
Pacific Coast,California,1930,20
Pacific Coast,Hawaii,1930,
Pacific Coast,Oregon,1930,3
Pacific Coast,Washington,1930,6
South,All South,1940,105
South,Alabama,1940,9
South,Arkansas,1940,7
South,Florida,1940,6
South,Georgia,1940,10
South,Louisiana,1940,8
South,Mississippi,1940,7
South,North Carolina,1940,12
South,South Carolina,1940,6
South,Tennessee,1940,10
South,Texas,1940,21
South,Virginia,1940,9
Border,All Border,1940,42
Border,Kentucky,1940,9
Border,Maryland,1940,6
Border,Missouri,1940,13
Border,Oklahoma,1940,8
Border,West Virginia,1940,6
New England,All New England,1940,28
New England,Connecticut,1940,6
New England,Maine,1940,3
New England,Massachusetts,1940,14
New England,New Hampshire,1940,2
New England,Rhode Island,1940,2
New England,Vermont,1940,1
Mid-Atlantic,All Mid-Atlantic,1940,93
Mid-Atlantic,Delaware,1940,1
Mid-Atlantic,New Jersey,1940,14
Mid-Atlantic,New York,1940,45
Mid-Atlantic, Pennsylvania,1940,33
Midwest,All Midwest,1940,87
Midwest,Illinois,1940,26
Midwest,Indiana,1940,11
Midwest,Michigan,1940,17
Midwest,Ohio,1940,23
Midwest,Wisconsin,1940,10
Plains,All Plains,1940,31
Plains,Iowa,1940,8
Plains,Kansas,1940,6
Plains,Minnesota,1940,9
Plains,Nebraska,1940,4
Plains,North Dakota,1940,2
Plains,South Dakota,1940,2
Rocky Mountains,All Rocky Mountains,1940,16
Rocky Mountains,Arizona,1940,2
Rocky Mountains,Colorado,1940,4
Rocky Mountains,Idaho,1940,2
Rocky Mountains,Montana,1940,2
Rocky Mountains,Nevada,1940,1
Rocky Mountains,New Mexico,1940,2
Rocky Mountains,Utah,1940,2
Rocky Mountains,Wyoming,1940,1
Pacific Coast,All Pacific Coast,1940,33
Pacific Coast,Alaska,1940,
Pacific Coast,California,1940,23
Pacific Coast,Hawaii,1940,
Pacific Coast,Oregon,1940,4
Pacific Coast,Washington,1940,6
South,All South,1950,106
South,Alabama,1950,9
South,Arkansas,1950,6
South,Florida,1950,8
South,Georgia,1950,10
South,Louisiana,1950,8
South,Mississippi,1950,6
South,North Carolina,1950,12
South,South Carolina,1950,6
South,Tennessee,1950,9
South,Texas,1950,22
South,Virginia,1950,10
Border,All Border,1950,38
Border,Kentucky,1950,8
Border,Maryland,1950,7
Border,Missouri,1950,11
Border,Oklahoma,1950,6
Border,West Virginia,1950,6
New England,All New England,1950,28
New England,Connecticut,1950,6
